Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_Type
Units,V,W,W,W,V,1/W,1/V,1/V,1/V,W,V,A,V,V,,
[0],inv_snl_ac_voltage,inv_snl_pso,inv_snl_paco,inv_snl_pdco,inv_snl_vdco,inv_snl_c0,inv_snl_c1,inv_snl_c2,inv_snl_c3,inv_snl_pnt,inv_snl_vdcmax,inv_snl_idcmax,inv_snl_mppt_low,inv_snl_mppt_hi,inv_cec_date,inv_cec_type
Chint_Power_Systems_America:_CPS_SCA5KTL-O_US_[240V],240,23.543545,5000,5160.899902,390,-4.27E-06,-0.000051,-0.000994,-0.001576,1.5,470,13.233077,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA60KTL-DO/US-480_[480V],480,96.218002,60000,61067.73438,730,-1.51E-07,-0.000025,-0.003713,-0.001741,18,850,83.654431,540,850,10/15/2018,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA6KTL-O_US_[208V],208,36.710117,5500,5698.249023,380,-3.83E-06,-0.000035,-0.000348,-0.000584,1.65,470,14.995392,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCA6KTL-O_US_[240V],240,36.088547,6000,6182.440918,380,-2.92E-06,-0.00004,-0.000593,-0.001379,1.8,470,16.269581,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE4KTL-O_US_[208V],208,22.068138,3690,3792.550537,360,-3.53E-06,5.11E-06,0.000791,-0.000436,1.107,470,10.534863,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE4KTL-O_US_[240V],240,22.322664,3980,4083.114014,360,-1.70E-06,-0.000022,-0.000995,-0.003559,1.194,450,11.341983,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE4KTL-O_US_[277V],277,30.963936,3980,4076.240723,360,-3.42E-06,-0.000026,-0.000824,-0.000306,1.194,450,11.322891,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE5KTL-O_US_[208V],208,26.907497,4470,4597.429688,360,-3.08E-06,7.10E-06,0.000903,-0.000546,1.341,470,12.770638,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE5KTL-O_US_[240V],240,24.677618,4830,4958.935547,360,-2.05E-06,-0.000023,-0.000346,-0.001171,1.449,450,13.774821,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE5KTL-O_US_[277V],277,28.928755,4830,4947.90918,360,-1.82E-06,-0.000029,-0.001691,-0.000533,1.449,450,13.744192,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE6KTL-O_US_[208V],208,28.738401,5680,5857.65332,360,-2.78E-06,4.94E-06,0.001738,0.000292,1.704,470,16.271259,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE6KTL-O_US_[240V],240,35.40136,6000,6158.379395,360,-1.92E-06,-0.000026,-0.001178,0.000466,1.8,450,17.106609,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE6KTL-O_US_[277V],277,28.496277,6010,6184.178711,360,-2.39E-06,-0.000021,0.000301,0.000471,1.803,450,17.178274,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE7KTL-O_US_[208V],208,26.034672,6950,7203.131836,360,-2.62E-06,1.92E-06,0.001461,-0.000509,2.085,470,20.0087,100,470,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE7KTL-O_US_[240V],240,29.436819,6920,7126.238281,360,-1.80E-06,-0.000026,0.000266,-0.001157,2.076,450,19.795106,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCE7KTL-O_US_[277V],277,29.998068,7010,7219.105469,360,-1.98E-06,-0.000029,-0.00072,-0.000752,2.103,450,20.053071,100,450,n/a,Utility Interactive
Chint_Power_Systems_America:_CPS_SCH100KTL-AIO/US-600_[600V],600,135.91037,100560,102153.9141,1000,-8.31E-08,0.000019,0.001435,0.00034,30.168,1300,102.153914,870,1300,n/a,Grid Support
Chint_Power_Systems_America:_CPS_SCH100KTL-DO/US-600_[600V],600,114.909843,100000,101610.3516,1000,-7.33E-08,0.000018,0.00188,0.000293,30,1300,101.610352,870,1300,10/15/2018,Utility Interactive
Chint_Power_Systems_America:_CPS_SCH125KTL-AIO/US-600_[600V],600,148.722916,125546,127855.3438,1000,-9.26E-08,0.000021,0.001671,0.000651,37.6638,1300,127.855344,870,1300,n/a,Grid Support
Chint_Power_Systems_America:_CPS_SCH125KTL-DO/US-600_[600V],600,143.16684,125000,127275.2813,1000,-8.74E-08,0.000019,0.001616,0.000381,37.5,1300,127.275281,870,1300,10/15/2018,Utility Interactive
Chint_Solar_Zhejiang:_CHPI_23KTL-US,0,56.784576,23000,23426.1582,720,-3.22E-07,-0.000035,0.000128,0.000391,6.9,800,32.536331,480,800,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI_28KTL-US,0,55.858963,28000,28571.38672,725,-3.57E-07,-0.000034,-0.00027,0.000098,8.4,800,39.408809,500,800,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI_6KTL-US_[208V],208,36.710117,5500,5698.249023,380,-3.83E-06,-0.000035,-0.000348,-0.000584,1.65,470,14.995392,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI_6KTL-US_[240V],240,36.088547,6000,6182.440918,380,-2.92E-06,-0.00004,-0.000593,-0.001379,1.8,470,16.269581,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI14KTL-US,0,38.139545,14000,14675.09082,385,-1.37E-06,-0.00003,0.001392,-0.000424,4.2,540,38.117119,300,540,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI20KTL-US,0,65.55838,20000,20657.53125,480,-6.40E-07,-0.000063,-0.000734,-0.004243,6,550,43.036523,300,550,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI3KTL-US_[208V],208,20.485386,2860,2969.612305,390,-8.05E-06,-0.000044,-0.000663,-0.000688,0.858,470,7.614391,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI3KTL-US_[240V],240,19.058781,3000,3096.936768,390,-6.15E-06,-0.000043,-0.000797,-0.00077,0.9,470,7.940864,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI4KTL-US_[208V],208,26.324465,3810,3947.896729,390,-6.04E-06,-0.000044,-0.000679,-0.001016,1.143,470,10.122812,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI4KTL-US_[240V],240,25.989321,4020,4141.662598,390,-4.54E-06,-0.000043,-0.000336,-0.00073,1.206,470,10.619648,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI5KTL-US_[208V],208,25.124512,4610,4784.182129,390,-5.90E-06,-0.000047,-0.000504,-0.000598,1.383,470,12.267134,100,470,n/a,Utility Interactive
Chint_Solar_Zhejiang:_CHPI5KTL-US_[240V],240,23.543545,5000,5160.899902,390,-4.27E-06,-0.000051,-0.000994,-0.001576,1.5,470,13.233077,100,470,n/a,Utility Interactive
Concept_by_US:_Power_Station_PS247-05-180_[120V],120,2.647592,5020,5413.990723,310,-6.19E-06,-0.000024,0.064602,0.004548,1.506,420,17.464486,210,420,n/a,Utility Interactive
Concept_by_US:_Power_Station_PS247-10-180_[120V],120,0.88891,10080,10909.47852,310,-3.18E-06,-0.000081,0.263204,0.000742,3.024,420,35.191866,210,420,n/a,Utility Interactive
Connect_Renewable_Energy:_CE_4000_[240V],240,50.18417,3000,3223.896973,62,-0.000016,0.000044,0.011092,-0.014612,7,77,51.998338,54,77,n/a,Utility Interactive
DASS_tech:_DSP-M33250KUS,0,1508.219116,250000,264486.9688,378,-9.66E-08,2.89E-06,-0.000071,-0.001619,75,480,699.700976,330,480,n/a,Utility Interactive
DYNAPOWER_COMPANY_LLC:_MPS-100_[480],480,2873.57666,98861,103552.3516,475,-1.87E-07,0.00007,0.001881,0.000972,29.6583,600,218.004951,350,600,n/a,Grid Support
