"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Fisherman`s Friend Orig20 gr","",20,"",1619,381,0,0,"","","94,7","88,6","","","0,5","0,3",0,"","","","","","","","",""
"Fisherman`s Friend Salmia25 gr","",25,"",1007,241,"1,3","1,3","","","90,8","0,2","85,9","","0,7","0,6",0,"","","","","","","","",""
"Fishermans`s Friend Mint25 gr","",25,"",1008,242,"0,6","0,6","","","98,4","0,1","98,2","","","0,1",0,"","","","","","","","",""
"Fiskeboller eget merke800 gram","",800,"",388,93,"4,8","0,4","","","4,8",0,"","4,8",0,"7,6","1,2","","","","","","","","",""
"FiskekakerBilligste type 500 gr","",500,"",498,118,"4,4","0,3","","","7,8","0,7",0,"7,1",0,"11,9","0,8","","","","","","","","",""
"Fiskepinner Findus750 gram","",750,"",835,199,"9,2","0,5","","","18,4","0,7","","17,7",1,"10,2","0,7","","","","","","","","",""
"Fjordland Havregrøt370 gram","",370,"",450,107,4,2,"","",12,"3,9","","","1,3","4,6","0,3","","","","","","","","",""
"Fjordland Kylling Sweet & sour460 gr","",460,"","","","","","","","","","","","","","","","","","","","","","",""
"Fjordland Pasta med ost og skinkesaus350 gr","",350,"",542,129,"5,1","1,9","","",15,4,"","","0,7","5,4","0,7","","","","","","","","",""
"Fjordland risgrøt970 gr","",970,"",448,106,"3,1","1,9","","","15,9","3,7","","","","3,7","0,3","","","","","","","","",""
"Flatbrød Original Ideal300 gram","",300,"",1500,360,"1,5","0,4","","",71,3,"","",12,"9,5",1,"","","","","","","","",""
"FløtemysostSkivet","","","",1794,433,26,18,"","",36,32,"","","",11,"0,9","","","","","","","","",""
"Fløtesaus Toro50 gram","",50,"",204,49,3,"1,6","","","4,2","1,1","","","0,1","1,1","0,9","","","","","","","","",""
"FOX Sitronkaramell2 biter","","","",1711,405,"7,5","7,4","","",84,65,"","","","0,6",0,"","","","","","","","",""
"Freia Dronningsjokolade100gr","",100,"",2145,525,"28,5",18,"","",56,"54,5","","",7,"4,9",0,"","","","","","","","",""
"Freia Regia kakao10 stk","","","",1680,405,20,"15,5","","",14,"1,9","","","33,5",23,"0,1","","","","","","","","",""
"Freia vaniljesukker 175 gr175 gram","",175,"",1645,385,0,0,"","",97,91,"","",0,0,0,"","","","","","","","",""
"Frydenlund fatøl5 dl","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"Geisha Risgrøt800 gram","",800,"",370,87,"1,1","0,7","","","15,5","3,7","","","0,3","3,9","0,1","","","","","","","","",""
"Gifflar kanel300 gr","",300,"",1550,370,14,3,"","",53,18,"","","",7,"0,7","","","","","","","","",""
