"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","SSB"
"05","OPPLAND","0520","RINGEBU",34,"INNLANDET",3439,"RINGEBU","Østre Østland DVH","Østre Østland","ringebu"
"05","OPPLAND","0521","ØYER",34,"INNLANDET",3440,"ØYER","Østre Østland DVH","Østre Østland","øyer"
"05","OPPLAND","0522","GAUSDAL",34,"INNLANDET",3441,"GAUSDAL","Østre Østland DVH","Østre Østland","gausdal"
"05","OPPLAND","0528","ØSTRE TOTEN",34,"INNLANDET",3442,"ØSTRE TOTEN","Østre Østland DVH","Østre Østland","østre toten"
"05","OPPLAND","0529","VESTRE TOTEN",34,"INNLANDET",3443,"VESTRE TOTEN","Østre Østland DVH","Østre Østland","vestre toten"
"05","OPPLAND","0532","JEVNAKER",30,"VIKEN",3053,"JEVNAKER","Østre Østland DVH","Østre Østland","jevnaker"
"05","OPPLAND","0533","LUNNER",30,"VIKEN",3054,"LUNNER","Østre Østland DVH","Østre Østland","lunner"
"05","OPPLAND","0534","GRAN",34,"INNLANDET",3446,"GRAN","Østre Østland DVH","Østre Østland","gran"
"05","OPPLAND","0536","SØNDRE LAND",34,"INNLANDET",3447,"SØNDRE LAND","Østre Østland DVH","Østre Østland","søndre land"
"05","OPPLAND","0538","NORDRE LAND",34,"INNLANDET",3448,"NORDRE LAND","Østre Østland DVH","Østre Østland","nordre land"
"05","OPPLAND","0540","SØR-AURDAL",34,"INNLANDET",3449,"SØR-AURDAL","Østre Østland DVH","Østre Østland","sør-aurdal"
"05","OPPLAND","0541","ETNEDAL",34,"INNLANDET",3450,"ETNEDAL","Østre Østland DVH","Østre Østland","etnedal"
"05","OPPLAND","0542","NORD-AURDAL",34,"INNLANDET",3451,"NORD-AURDAL","Østre Østland DVH","Østre Østland","nord-aurdal"
"05","OPPLAND","0543","VESTRE SLIDRE",34,"INNLANDET",3452,"VESTRE SLIDRE","Østre Østland DVH","Østre Østland","vestre slidre"
"05","OPPLAND","0544","ØYSTRE SLIDRE",34,"INNLANDET",3453,"ØYSTRE SLIDRE","Østre Østland DVH","Østre Østland","øystre slidre"
"05","OPPLAND","0545","VANG",34,"INNLANDET",3454,"VANG","Østre Østland DVH","Østre Østland","vang"
"06","BUSKERUD","0602","DRAMMEN",30,"VIKEN",3005,"DRAMMEN","Vestre Østland DVH","Vestre Østland","drammen"
"06","BUSKERUD","0604","KONGSBERG",30,"VIKEN",3006,"KONGSBERG","Vestre Østland DVH","Vestre Østland","kongsberg"
"06","BUSKERUD","0605","RINGERIKE",30,"VIKEN",3007,"RINGERIKE","Vestre Østland DVH","Vestre Østland","ringerike"
"06","BUSKERUD","0612","HOLE",30,"VIKEN",3038,"HOLE","Vestre Østland DVH","Vestre Østland","hole"
"06","BUSKERUD","0615","FLÅ",30,"VIKEN",3039,"FLÅ","Vestre Østland DVH","Vestre Østland","flå"
