Name,Manufacturer,alpha_sc,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref
Trina_Solar_TSM-260PD05.05M,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.05S,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.08,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.081,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.082,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.08C,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.08D,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.08M,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.08S,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.10,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.18,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.18D,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PD05.xy2,Trina Solar,0.005202,1.621495,8.671523,6.10E-10,0.165976,945.073853
Trina_Solar_TSM-260PDG5,Trina Solar,0.002712,1.605473,9.10832,6.06E-10,0.281907,308.326324
Trina_Solar_TSM-260PE05A,Trina Solar,0.004878,1.682287,9.097856,1.24E-09,0.325806,376.983154
Trina_Solar_TSM-260PE05A.08,Trina Solar,0.004878,1.682287,9.097856,1.24E-09,0.325806,376.983154
Trina_Solar_TSM-260PEG5,Trina Solar,0.002712,1.605473,9.10832,6.06E-10,0.281907,308.326324
Trina_Solar_TSM-260PEG5.07,Trina Solar,0.002712,1.605473,9.10832,6.06E-10,0.281907,308.326324
Trina_Solar_TSM-260PEG5.40,Trina Solar,0.005642,1.514331,9.111307,1.48E-10,0.304109,244.752182
Trina_Solar_TSM-260PEG5.47,Trina Solar,0.005642,1.514331,9.111307,1.48E-10,0.304109,244.752182
Trina_Solar_TSM-260PxG5,Trina Solar,0.005429,1.46678,9.024244,6.16E-11,0.329631,601.329895
Trina_Solar_TSM-260PxG5.50,Trina Solar,0.005429,1.46678,9.024244,6.16E-11,0.329631,601.329895
Trina_Solar_TSM-265PA05.05,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PA05A,Trina Solar,0.004535,1.593848,9.085958,3.22E-10,0.228922,130.103043
Trina_Solar_TSM-265PA05A.08,Trina Solar,0.004535,1.593848,9.085958,3.22E-10,0.228922,130.103043
Trina_Solar_TSM-265PA05A.10,Trina Solar,0.004535,1.593848,9.085958,3.22E-10,0.228922,130.103043
Trina_Solar_TSM-265PA05A.18,Trina Solar,0.004535,1.593848,9.085958,3.22E-10,0.228922,130.103043
Trina_Solar_TSM-265PD05,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.001,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.002,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.00C,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.00M,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.00S,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.05,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.051,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.052,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.05M,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.05S,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.08,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.081,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.082,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.08C,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.08D,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.08M,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.08S,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.10,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.102,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.18,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.182,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PD05.18D,Trina Solar,0.00455,1.550283,9.101171,1.69E-10,0.340993,2652.809814
Trina_Solar_TSM-265PDG5,Trina Solar,0.002742,1.616414,9.208769,7.16E-10,0.237335,249.001312
Trina_Solar_TSM-265PE05A,Trina Solar,0.004932,1.688889,9.197294,1.29E-09,0.306584,447.713562
Trina_Solar_TSM-265PE05A.08,Trina Solar,0.004932,1.688889,9.197294,1.29E-09,0.306584,447.713562
Trina_Solar_TSM-265PEG5,Trina Solar,0.002742,1.616414,9.208769,7.16E-10,0.237335,249.001312
Trina_Solar_TSM-265PEG5.07,Trina Solar,0.002742,1.616414,9.208769,7.16E-10,0.237335,249.001312
Trina_Solar_TSM-265PEG5.40,Trina Solar,0.005704,1.52396,9.21159,1.74E-10,0.259822,206.243912
