"United States","Medical Devices","GMED","Globus Medical Inc"
"Denmark","Medical Devices","GN.CO","GN Store Nord AS"
"United States","Biotechnology","GOSS","Gossamer Bio Inc"
"Germany","Medical Instruments & Supplies","GXI.DE","Gerresheimer AG"
"United States","Medical Instruments & Supplies","HAE","Haemonetics Corp"
"United States","Biotechnology","HALO","Halozyme Therapeutics Inc"
"United States","Medical Care Facilities","HCA","HCA Healthcare Inc"
"United States","Medical Care Facilities","HCSG","Healthcare Services Group Inc"
"United States","Medical Care Facilities","HNGR","Hanger Inc"
"Sweden","Biotechnology","HNSA.ST","Hansa Biopharma AB"
"United States","Medical Instruments & Supplies","HOLX","Hologic Inc"
"United States","Health Information Services","HQY","HealthEquity Inc"
"United States","Medical Instruments & Supplies","HRC","Hill-Rom Holdings Inc"
"United States","Biotechnology","HRMY","Harmony Biosciences Holdings Inc"
"United States","Biotechnology","HRTX","Heron Therapeutics Inc"
"United States","Medical Distribution","HSIC","Henry Schein Inc"
"United States","Healthcare Plans","HUM","Humana Inc"
"Ireland","Drug Manufacturers—General","HZNP","Horizon Therapeutics Plc"
"United States","Medical Devices","IART","Integra LifeSciences Holdings Corp"
"Sweden","Biotechnology","IBT-B.ST","Infant Bacterial Therapeutics AB"
"Ireland","Diagnostics & Research","ICLR","ICON PLC"
"United States","Biotechnology","ICPT","Intercept Pharmaceuticals Inc"
"United States","Medical Instruments & Supplies","ICUI","ICU Medical Inc"
"United States","Diagnostics & Research","IDXX","IDEXX Laboratories Inc"
"United States","Biotechnology","IGMS","IGM Biosciences Inc"
"Germany","Medical Distribution","ILM1.DE","Medios AG"
"United States","Diagnostics & Research","ILMN","Illumina Inc"
"United States","Biotechnology","IMVT","Immunovant Inc"
"United States","Biotechnology","INCY","Incyte Corp"
"United States","Medical Devices","INGN","Inogen Inc"
"United States","Biotechnology","INO","Inovio Pharmaceuticals Inc"
"United States","Health Information Services","INOV","Inovalon Holdings Inc"
"United States","Biotechnology","INSM","Insmed Inc"
"United States","Medical Devices","INSP","Inspire Medical Systems Inc"
"United States","Biotechnology","INVA","Innoviva Inc"
"United States","Biotechnology","IONS","Iovance Biotherapeutics Inc"
"United States","Diagnostics & Research","IQV","IQVIA Holdings Inc"
"United States","Medical Instruments & Supplies","IRTC","iRhythm Technologies Inc"
"United States","Drug Manufacturers—Specialty & Generic","IRWD","Ironwood Pharmaceuticals Inc"
"United States","Medical Instruments & Supplies","ISRG","Intuitive Surgical Inc"
"United States","Biotechnology","ITCI","Intra-Cellular Therapies Inc"
"United States","Medical Devices","ITGR","Integer Holdings Corp"
"Ireland","Biotechnology","JAZZ","Jazz Pharmaceuticals PLC"
"United States","Drug Manufacturers—General","JNJ","Johnson & Johnson"
"Sweden","Drug Manufacturers—Specialty & Generic","KARO.ST","Karo Pharma AB"
"United States","Medical Devices","KIDS","OrthoPediatrics Corp"
"Bermuda","Biotechnology","KNSA","Kiniksa Pharmaceuticals Ltd"
"United States","Biotechnology","KNTE","Kinnate Biopharma Inc"
"United States","Biotechnology","KOD","Kodiak Sciences Inc"
"United States","Biotechnology","KRON","Kronos Bio Inc"
"United States","Biotechnology","KRTX","Karuna Therapeutics Inc"
"United States","Biotechnology","KRYS","Krystal Biotech Inc"
"United States","Biotechnology","KYMR","Kymera Therapeutics Inc"
"United States","Biotechnology","LGND","Ligand Pharmaceuticals Inc"
"United States","Diagnostics & Research","LH","Laboratory Corp of America Holdings"
"United States","Medical Care Facilities","LHCG","LHC Group Inc"
"United Kingdom","Medical Devices","LIVN","LivaNova PLC"
"United States","Drug Manufacturers—General","LLY","Eli Lilly and Co"
"United States","Medical Instruments & Supplies","LMNX","Luminex Corp"
"Denmark","Drug Manufacturers—Specialty & Generic","LUN.CO","H Lundbeck A/S"
"Germany","Medical Care Facilities","M12.DE","Marseille-Kliniken AG"
"United States","Medical Instruments & Supplies","MASI","Masimo Corp"
"United States","Medical Devices","MASS","908 Devices Inc"
"Sweden","Medical Care Facilities","MCOV-B.ST","Medicover AB"
"United States","Biotechnology","MCRB","Seres Therapeutics Inc"
"United States","Medical Care Facilities","MD","MEDNAX Inc"
"United States","Biotechnology","MDGL","Madrigal Pharmaceuticals Inc"
"United States","Health Information Services","MDRX","Allscripts Healthcare Solutions Inc"
"Ireland","Medical Devices","MDT","Medtronic PLC"
"United States","Diagnostics & Research","MEDP","Medpace Holdings Inc"
"United States","Healthcare Plans","MGLN","Magellan Health Inc"
"United States","Biotechnology","MGNX","MacroGenics Inc"
"United States","Biotechnology","MGTX","MeiraGTx Holdings plc"
"United States","Medical Instruments & Supplies","MMSI","Merit Medical Systems Inc"
"Ireland","Drug Manufacturers—Specialty & Generic","MNKKQ","Mallinckrodt PLC"
"United States","Healthcare Plans","MOH","Molina Healthcare Inc"
"Germany","Biotechnology","MOR.DE","MorphoSys AG"
"Germany","Drug Manufacturers—Specialty & Generic","MRK.DE","Merck KGaA"
"United States","Drug Manufacturers—General","MRK","Merck & Co Inc"
"United States","Biotechnology","MRNA","Moderna Inc"
"United States","Biotechnology","MRSN","Mersana Therapeutics Inc"
"United States","Biotechnology","MRTX","Mirati Therapeutics Inc"
"United States","Biotechnology","MRVI","Maravai LifeSciences Holdings Inc"
"United States","Diagnostics & Research","MTD","Mettler-Toledo International Inc"
"United States","Diagnostics & Research","MYGN","Myriad Genetics Inc"
"United Kingdom","Biotechnology","MYOV","Myovant Sciences Ltd"
"Finland","Biotechnology","NANOFH.HE","Nanoform Finland Plc"
"United States","Medical Devices","NARI","Inari Medical Inc"
"United States","Biotechnology","NBIX","Neurocrine Biosciences Inc"
"United States","Diagnostics & Research","NEO","NeoGenomics Inc"
"United States","Diagnostics & Research","NEOG","Neogen Corp"
"United States","Biotechnology","NKTR","Nektar Therapeutics"
"Denmark","Biotechnology","NOVO-B.CO","Novo Nordisk A/S"
"United States","Medical Instruments & Supplies","NSTG","NanoString Technologies Inc"
"United States","Diagnostics & Research","NTRA","Natera Inc"
"United States","Medical Devices","NTUS","Natus Medical Inc"
"United States","Medical Devices","NUVA","NuVasive Inc"
"United States","Biotechnology","NVAX","Novavax Inc"
"Jersey","Medical Instruments & Supplies","NVCR","Novocure Ltd"
"United States","Medical Devices","NVRO","Nevro Corp"
"United States","Medical Instruments & Supplies","NVST","Envista Holdings Corp"
"United States","Diagnostics & Research","NVTA","Invitae Corp"
"United States","Health Information Services","NXGN","NextGen Healthcare Inc"
"United States","Medical Devices","OFIX","Orthofix Medical Inc"
"Finland","Pharmaceutical Retailers","OKDAV.HE","Oriola Oyj"
"United States","Medical Devices","OM","Outset Medical Inc"
"United States","Health Information Services","OMCL","Omnicell Inc"
"United States","Health Information Services","ONEM","1Life Healthcare Inc"
"United States","Diagnostics & Research","OPK","OPKO Health Inc"
"United States","Biotechnology","ORIC","ORIC Pharmaceuticals Inc"
"Finland","Drug Manufacturers—General","ORNBV.HE","Orion Oyj"
"United States","Medical Care Facilities","OSH","Oak Street Health Inc"
"United States","Medical Instruments & Supplies","OSUR","OraSure Technologies Inc"
"United States","Diagnostics & Research","PACB","Pacific Biosciences of California Inc"
"United States","Biotechnology","PASG","Passage Bio Inc"
"United States","Medical Distribution","PBH","Prestige Consumer Healthcare Inc"
"United States","Drug Manufacturers—Specialty & Generic","PCRX","Pacira BioSciences Inc"
"United States","Biotechnology","PCVX","Vaxcyte Inc"
"United States","Medical Distribution","PDCO","Patterson Cos Inc"
"United States","Medical Devices","PEN","Penumbra Inc"
"United States","Drug Manufacturers—General","PFE","Pfizer Inc"
"United States","Biotechnology","PGEN","Precigen Inc"
"United States","Health Information Services","PGNY","Progyny Inc"
"United States","Biotechnology","PHAT","Phathom Pharmaceuticals Inc"
"United States","Health Information Services","PINC","Premier Inc"
"United States","Diagnostics & Research","PKI","PerkinElmer Inc"
"United States","Medical Care Facilities","PNTG","Pennant Group Inc/The"
"United States","Medical Devices","PODD","Insulet Corp"
"United States","Drug Manufacturers—Specialty & Generic","PPD","PPD Inc"
"United States","Diagnostics & Research","PRAH","PRA Health Sciences Inc"
"Ireland","Drug Manufacturers—Specialty & Generic","PRGO","Perrigo Co PLC"
"United States","Biotechnology","PRLD","Prelude Therapeutics Inc"
"Sweden","Drug Manufacturers—Specialty & Generic","PROB.ST","Probi AB"
"United States","Biotechnology","PSTX","Poseida Therapeutics Inc"
"United States","Biotechnology","PTCT","PTC Therapeutics Inc"
"United States","Biotechnology","PTGX","Protagonist Therapeutics Inc"
"United States","Diagnostics & Research","QDEL","Quidel Corp"
"Netherlands","Diagnostics & Research","QIA.DE","QIAGEN NV"
"Netherlands","Biotechnology","QURE","uniQure NV"
"United States","Biotechnology","RARE","Ultragenyx Pharmaceutical Inc"
"United States","Biotechnology","RCKT","Rocket Pharmaceuticals Inc"
"United States","Health Information Services","RCM","R1 RCM Inc"
"United States","Biotechnology","RCUS","Arcus Biosciences Inc"
"United States","Drug Manufacturers—Specialty & Generic","RDUS","Radius Health Inc"
"United States","Biotechnology","REGN","Regeneron Pharmaceuticals Inc"
"United States","Biotechnology","REPL","Replimune Group Inc"
"United States","Biotechnology","RETA","Reata Pharmaceuticals Inc"
"United States","Medical Instruments & Supplies","RGEN","Repligen Corp"
"United States","Biotechnology","RGNX","REGENXBIO Inc"
"Germany","Medical Care Facilities","RHK.DE","RHOEN-KLINIKUM AG"
"United States","Biotechnology","RIGL","Rigel Pharmaceuticals Inc"
"United States","Biotechnology","RLAY","Relay Therapeutics Inc"
"United States","Medical Instruments & Supplies","RMD","ResMed Inc"
"United States","Biotechnology","RPRX","Royalty Pharma PLC"
"United States","Biotechnology","RUBY","Rubius Therapeutics Inc"
"United States","Biotechnology","RVMD","REVOLUTION Medicines Inc"
"United States","Biotechnology","RYTM","Rhythm Pharmaceuticals Inc"
"United States","Biotechnology","SAGE","Sage Therapeutics Inc"
"Germany","Medical Devices","SBS.DE","STRATEC SE"
"United States","Biotechnology","SBTX","Silverback Therapeutics Inc"
"United States","Health Information Services","SDGR","Schrodinger Inc/United States"
"Sweden","Medical Devices","SECT-B.ST","Sectra AB"
"United States","Biotechnology","SEER","Seer Inc"
"United States","Medical Care Facilities","SEM","Select Medical Holdings Corp"
"United States","Biotechnology","SGEN","Seagen Inc"
"United States","Biotechnology","SGTX","Sigilon Therapeutics Inc"
"United States","Diagnostics & Research","SHC","Sotera Health Co"
"Germany","Diagnostics & Research","SHL.DE","Siemens Healthineers AG"
"United States","Medical Devices","SILK","Silk Road Medical Inc"
"Sweden","Drug Manufacturers—Specialty & Generic","SOBI.ST","Swedish Orphan Biovitrum AB"
"United States","Biotechnology","SRPT","Sarepta Therapeutics Inc"
"United States","Biotechnology","SRRK","Scholar Rock Holding Corp"
"Germany","Medical Instruments & Supplies","SRT.DE","Sartorius AG"
"United States","Medical Instruments & Supplies","STAA","STAAR Surgical Co"
"Ireland","Medical Instruments & Supplies","STE","STERIS PLC"
"United States","Drug Manufacturers—Specialty & Generic","SUPN","Supernus Pharmaceuticals Inc"
"United States","Medical Devices","SWAV","Shockwave Medical Inc"
"United States","Biotechnology","SWTX","SpringWorks Therapeutics Inc"
"United States","Medical Devices","SYK","Stryker Corp"
"United States","Diagnostics & Research","SYNH","Syneos Health Inc"
"Israel","Drug Manufacturers—Specialty & Generic","TARO","Taro Pharmaceutical Industries Ltd"
"United States","Biotechnology","TBIO","Translate Bio Inc"
"Cayman Islands","Biotechnology","TBPH","Theravance Biopharma Inc"
"United States","Biotechnology","TCDA","Tricida Inc"
"United States","Health Information Services","TDOC","Teladoc Health Inc"
"United States","Biotechnology","TECH","Bio-Techne Corp"
"United States","Medical Instruments & Supplies","TFX","Teleflex Inc"
"United States","Biotechnology","TGTX","TG Therapeutics Inc"
"United States","Medical Care Facilities","THC","Tenet Healthcare Corp"
"United States","Diagnostics & Research","TMO","Thermo Fisher Scientific Inc"
"United States","Medical Devices","TNDM","Tandem Diabetes Care Inc"
"United States","Biotechnology","TPTX","Turning Point Therapeutics Inc"
"Finland","Medical Care Facilities","TTALO.HE","Terveystalo Oyj"
"United States","Biotechnology","TVTX","Travere Therapeutics Inc"
