"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_2019__1"
"Løk_og purre_vekster",100,965204,1010614,4.7,"Løk_og purre_vekster","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kepaløk gul",39.1,373792,394792,5.6,"Løk_og purre_vekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kepaløk rød",18.1,185918,182911,-1.6,"Løk_og purre_vekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Vårløk",14.7,134561,148917,10.7,"Løk_og purre_vekster","Enhed","Vårløk",551,979,1530,551,1000,1551,0.014,0.055,0.3,"Grønnsaker","Vårløk",5347896,0.29
"Hvitløk",12.7,123326,128284,4,"Løk_og purre_vekster","Enhed","Hvitløk",17,1360,1377,22,1343,1365,-0.008,-0.002,0.3,"Grønnsaker","Hvitløk",5347896,0.26
"Purre",8.8,83772,88434,5.6,"Løk_og purre_vekster","Enhed","Purre",1587,2417,4004,1435,2092,3527,-0.119,-0.041,0.7,"Grønnsaker","Purre",5347896,0.66
"Sjalottløk",6.2,56045,62183,11,"Løk_og purre_vekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Løk_og purre_vekster øvrige",0.5,7790,5093,-34.6,"Løk_og purre_vekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Rotvekster",100,1193964,1255723,5.2,"Rotvekster","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Gulrot",71.5,862873,897515,4,"Rotvekster","Enhed","Gulrot",31627,8199,39826,33641,7284,40925,0.028,0.028,7.7,"Grønnsaker","Gulrot",5347896,7.65
"Sellerirot",1.8,22568,23111,2.4,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Søtpotet",7.1,85333,89078,4.4,"Rotvekster","Enhed","Søtpotet",10,4217,4227,10,4023,4033,-0.046,0.608,0.8,"Grønnsaker","Søtpotet **",5347896,0.75
"Ingefærrot",3.1,39447,39379,-0.2,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Persillerot",2.5,30216,32000,5.9,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Reddik",2.1,27777,26808,-3.5,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Rotvekster øvrige",1.8,21227,22405,5.6,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Rødbeter",1.4,15611,17823,14.2,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Pastinakk",1.1,13382,14147,5.7,"Rotvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
