"Klokkeslaet","01._Bibliotek_(gnt_af_51_stk)","02._Doegninstitioner__(gnt_af_50_stk)","03._Daginstitutioner_(gnt_af_160_stk)","04._Folkeskoler_(gnt_af_582_stk)","05._Forsyningsanlaeg_(gnt_af_174_stk)","06._Camping_(Hytter/Telte)","07._Vandvaerk","08._Handel/service_(gnt_af_17_stk)","09._Hospitaler_(gnt_af_32_stk)","10._Hoteller_(gnt_af_7_stk)","11._Hustand_","12._Hustand_","13._Hustand_","14._Boligforening","15._Internatskoler/kursuscentre_(gnt_af_39_stk)","16._IT-Service_(gnt_af_21_stk)","17._Kontorer/administration_(gnt_af_322_stk)","18._Laboratorier_(gnt_af_11_stk)","19._Landmand_Kvaeg_og_maelk","20._Museér,_udstillinger_m._v._(gnt_af_23_stk)","21._Plejehjem_(gnt_af_229_stk)","22._Produktioner_(gnt_af_36_stk)","23._Restauranter_(gnt_af_8_stk)","24._Serverrum_(gnt_af_14_stk)","25._Sportsanlaeg_(gnt_af_135_stk)","26._Supermarkeder_(gnt_af_55_stk)","27._Togstationer_(gnt_af_67_stk)","28._Videregående_udd.institutioner_(gnt_af_62_stk)","29._Voksenundervisning_(gnt_af_12_stk)","30._Vaerksteder_(gnt_af_23_stk)"
"2020-01-01 22:00",91.79686546,24.74455976,3.772087514,24.74455976,61.06974602,5.210000038,195.9600067,60.62276459,345.6907043,12.59100008,41.26,1.74,"",12,34.81728172,280.9902039,30.92017841,86.40636063,35.5,21.57182598,19.21827555,86.63691711,6.668750286,129.728714,22.86679268,47.8003273,15.77156734,191.1242256,10.5315001,26.57400036
"2020-01-01 23:00",91.68509674,22.28166008,3.653918743,22.28166008,61.14766693,5.551000118,135.6399994,60.15864563,329.0635681,11.9651432,40.61,1.65,"",13,33.00846195,279.4417114,30.61853456,86.02427292,30.2,21.33169603,17.5923357,70.32588959,6.204499722,128.5266418,21.83362246,52.01563644,15.53422403,187.6587257,10.18499994,24.51504326
"2020-01-02 00:00",88.71741104,21.13749981,3.552031219,21.13749981,69.32447624,4.888000011,135.5200043,59.15076447,323.6084595,11.55671406,33.68,1.66,"",12,32.03938484,277.3720093,30.6432085,86.52799988,30.5,21.44113064,17.02791214,65.84972382,5.822249889,128.3297119,21.67183018,54.50989151,15.27126884,187.4754982,9.960999727,23.29730415
"2020-01-02 01:00",87.59725761,20.49616003,3.505587518,20.49616003,77.57939148,4.534999847,134.1999969,59.8551178,319.1374817,11.02228594,29.3,1.55,"",12,30.33079481,280.122345,30.67747927,86.13181686,34,22.06917334,16.62711382,70.97116852,5.320250034,128.4989319,21.47620726,58.09560013,14.44694018,186.8238869,10.14166689,23.91647816
"2020-01-02 02:00",88.82964706,19.19593954,3.491956294,19.19593954,77.37066841,4.513999939,202,58.56535339,316.3368835,10.65442824,26.25,1.59,"",12,30.97697449,281.0645752,30.82507753,86.89572906,28.4,21.22547817,16.36334944,73.90472412,5.538750172,127.9027863,21.10303688,66.11832428,11.16120911,184.6673393,9.980499983,25.35921717
"2020-01-02 03:00",95.94682121,18.75122023,3.551643729,18.75122023,72.53147697,4.389999866,125.9199982,59.8032341,314.74823,10.96585703,24.55,1.52,"",12,30.20705128,279.1483459,31.21266127,86.9824543,25,20.44099998,16.0382185,66.75585938,5.568500042,129.3065033,20.8622961,74.94405365,11.32091022,185.5782089,9.953416586,25.45482588
"2020-01-02 04:00",108.1582737,19.14875984,3.845956266,19.14875984,69.06283188,4.695000172,132.0399933,60.32835388,322.1169434,10.92642879,25.51,1.61,"",12,32.75261497,280.1426697,33.03004742,87.17172813,27.9,21.15573931,16.20256805,65.22225189,6.143750191,128.024353,21.87362242,78.80485535,14.97170162,192.5035057,10.3065834,24.06460857
"2020-01-02 05:00",127.7711372,19.7370801,4.529206276,19.7370801,63.84469509,4.361999989,132.6399994,66.49982452,368.4949036,11.95828581,32.67,1.57,"",13,39.39789772,292.8535767,37.57062149,89.07845306,35.4,20.8114357,18.84137154,69.40052795,15.90275002,128.2272797,25.78177786,83.40398407,17.59743309,209.8881645,10.19449997,26.90286922
"2020-01-02 06:00",146.9040794,25.56950045,7.121850014,25.56950045,65.19599533,5.271999836,110.7200012,76.31276703,482.2182922,13.35985708,37.98,1.6,"",14,49.12582016,313.440155,49.14501858,98.28345299,40.7,25.91591263,28.14735365,78.36853027,19.07850075,129.0344238,35.60840034,97.40599823,18.04311895,238.2326164,13.87774968,39.12121868
"2020-01-02 07:00",178.9366264,37.22784042,9.28609395,37.22784042,67.71053314,4.997000217,212.6399994,87.12082672,600.0309448,19.46085691,37.5,1.59,"",19,58.7554884,340.9992981,64.73696327,109.5811806,46.7,34.39826107,43.23603439,94.5340271,17.5114994,128.5559235,41.14732647,105.8894882,18.12585068,285.9568787,19.06133366,54.9358263
"2020-01-02 08:00",227.3694153,43.53214073,11.72583127,43.53214073,70.73226357,5.690000057,187.1600037,91.30441284,684.420105,21.85214281,40.49,2.57,"",25,65.05389786,375.0171814,77.75127792,123.021183,49.4,47.77795506,47.84553814,104.4489441,18.96825027,129.1344299,42.98988914,106.5833435,17.80355215,326.341217,23.96249962,64.6096077
"2020-01-02 09:00",248.1578827,46.41721916,12.13771868,46.41721916,69.00385666,5.526000023,222.9600067,93.33317566,689.0653687,21.68928528,48.43,1.09,"",27,69.26541138,381.3070984,81.8180027,131.3381805,42.6,52.52099991,50.22655487,112.9117508,20.96725082,128.3380737,44.72062302,103.2739792,13.65829873,348.6559067,22.47375011,68.73121834
"2020-01-02 10:00",254.1666679,47.74832058,12.60124373,47.74832058,71.09567642,5.327000141,208.1199951,93.73964691,695.7805786,21.6537137,54.9,1,"",26,69.91197395,384.0316162,84.09282494,135.9973679,34,56.47421646,54.01502132,117.0690536,27.55175018,129.1362152,48.29847431,100.4403992,13.1514926,358.9594955,23.34649992,73.0631752
"2020-01-02 11:00",256.8973389,46.79796028,12.49851251,46.79796028,71.2902832,5.331999779,139.7200012,96.02105713,683.0331421,21.43899965,55.57,0.99,"",27,69.91730881,381.0363464,83.10303879,139.7874527,32.5,56.94830322,50.21776867,117.3181076,26.92200089,128.79422,48.16700077,97.90156555,13.17665672,360.53125,25.31099987,69.70434761
"2020-01-02 12:00",256.3553734,42.40384007,12.15005016,42.40384007,71.99157143,4.254000187,261.9200134,93.96982574,673.5904541,21.03071499,46.66,1.03,"",27,66.39687347,380.0507202,81.67857552,135.7271843,32.8,56.34200001,45.40692139,110.8579712,26.21899986,128.1506348,47.31825924,95.71202087,13.01565671,357.3031769,25.36550045,63.36713028
