"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Grandiosa_Hj.laget_m/kjøttdeig_1_kgmed_kjøttdeig","",1000,"",915,219,"7,6",4,"","",27,"2,7","","",0,10,"0,8","","","","","","","","",""
"Grandiosa_Original575_gr","",575,"",910,217,"7,6","4,2","","",26,"2,7","","",0,11,"0,9","","","","","","","","",""
"Grandiosa_Pizzarull_ost&sk.155_gram","",155,"",950,220,"7,7","3,2","","",26,"0,6","","","",12,"1,2","","","","","","","","",""
"Grillpølser_eget_merke1_kilo","",1000,"","","","","","","","","","","","","","","","","","","","","","",""
"Grillpølser_Gilde600_gr","",600,"",923,222,18,6,"7,5","2,4","5,6","0,4",0,0,0,"9,5","1,8","","","","","","","","",""
"Gräddost380_gram","",380,"",1729,418,38,25,"","",0,0,"","","",19,"1,3","","","","","","","","",""
"Gudbrandsdalsost_skivet_Tine130_gr","",130,"",1835,441,28,19,"","",35,30,"","","",10,"0,7","","","","","","","","",""
"Gudbrandsdalsost_Tine500_gr","",500,"",1835,441,28,19,"","",35,30,"","","",10,"0,7","","","","","","","","",""
"Gullsalami150_gram","",150,"",1820,444,40,15,19,6,1,0,"","","",20,5,"","","","","","","","",""
"Gulost_Norvegia","","","",1458,351,27,17,"","",0,0,"","","",27,"1,2","","","","","","","","",""
"Gulost_Synnøve","","","",1404,338,26,17,"","",0,0,"","","",26,"1,2","","","","","","","","",""
"Gulost_Synnøve1_kg","",1000,"",1404,338,26,17,"","",0,0,"","","",26,"1,2","","","","","","","","",""
"Hamburgerdressing_Idun470_gr_flaske","",470,"",1025,245,22,"1,6",0,0,"9,5",7,"","",0,"0,8","1,1","","","","","","","","",""
"Hansa_Pilsner5_dl","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"Havregryn_lettkokte_Axa1","","","",1550,370,"7,5","1,1","2,6","2,4",60,1,"","",10,11,0,"","","","","","","","",""
"Heineken5_dl","","",500,186,44,"0,2","0,1",0,0,"2,5","0,1",0,0,0,"0,4",0,"","","","","","","","",""
