"Ticker","SPAC Company","Price","Target","Pro Forma Market Cap (at $10)","Expected Net Cash (Debt) at Closing (with no redemptions)","Pro Forma Enterprise Value at $10","Pro Forma Market Cap at Current Price","PIPE Size","2019 Revenue","2020 Revenue","2021 Revenue Projection","2022 Revenue Projection","2023 Revenue Projection","2020 Growth (Decline)","2021 Growth (Decline)","2022 Growth (Decline)","2023 Growth (Decline)","2021 Price-to-Sales Multiple","2022 Price-to-Sales Multiple","Investor Presentation","Links"
"DFNS","LGL Systems Acq. Corp.","$9.98","IronNet","$1,193.2","$266.5","$926.7","$1,190.8","$125.0","$23.2","$28.9","$54.2","$110.8","$184.5","24.60 %","87.50 %","104.40 %","66.50 %",21.97,10.75,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1777946/000121390021015433/ea137631ex99-3_lglsystems.htm"
"SNPR","Tortoise Acq. Corp. II","$10.98","Volta Charging","$2,031.0","$610.0","$1,421.0","$2,230.0","$300.0","","$25.0","$47.0","$141.0","$280.0","-","88.00 %","200.00 %","98.60 %",47.45,15.82,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819584/000121390021007256/ea134805ex99-3_tortoiseacq2.htm"
"FUSE","Fusion Acq. Corp.","$9.98","MoneyLion","$2,888.0","$526.0","$2,362.0","$2,882.2","$250.0","$40.0","$76.0","$144.0","$258.0","$424.0","90.00 %","89.50 %","79.20 %","64.30 %",20.02,11.17,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1807846/000121390021008694/ea135375ex99-2_fusionacq.htm"
"GNRS","Greenrose Acq. Corp.","$9.96","Greenrose Holding Co.","$381.0","$171.0","$210.0","$379.5","$150.0","","$82.9","$158.3","$229.7","$246.9","-","90.90 %","45.10 %","7.50 %",2.4,1.65,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1790665/000121390021016370/ea137829ex99-3_greenroseacq.htm"
"THBR","Thunder Bridge Acq. II, Ltd","$10.22","Indie Semiconductor","$1,447.0","$465.0","$982.0","$1,478.8","$150.0","$23.0","$23.0","$44.0","$91.0","$204.0","0.00 %","91.30 %","106.80 %","124.20 %",33.61,16.25,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1769318/000121390020042670/ea131644ex99-2_thunder2.htm"
"NSH","NavSight Holdings, Inc.","$10.05","Spire Global","$1,637.0","$408.0","$1,229.0","$1,645.2","$245.0","$18.0","$28.0","$54.0","$114.0","$227.0","55.60 %","92.90 %","111.10 %","99.10 %",30.47,14.43,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1816017/000119312521063887/d655535dex992.htm"
"SCPE","SC Health Corp.","$10.13","Rockley Photonics","$1,526.0","$312.0","$1,214.0","$1,545.8","$150.0","$20.5","$20.6","$40.5","$78.6","$426.5","0.70 %","96.60 %","94.10 %","442.60 %",38.17,19.67,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1764301/000119312521086719/d156616dex993.htm"
"VACQ","Vector Acq. Corp.","$11.68","Rocket Lab","$4,827.0","$745.0","$4,082.0","$5,637.9","$467.0","$48.0","$35.0","$69.0","$176.0","$267.0","-27.10 %","97.10 %","155.10 %","51.70 %",81.71,32.03,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1819994/000121390021012372/ea136708ex99-3_vector.htm"
"NEBC","Nebula Caravel Acq. Corp.","$10.01","Rover","$1,630.0","$275.0","$1,355.0","$1,631.6","$50.0","$95.0","$48.0","$97.0","$201.0","","-49.50 %","102.10 %","107.20 %","-",16.82,8.12,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1826018/000119312521037557/d63727dex992.htm"
"EXPC","Experience Investment Corp.","$10.74","Blade","$825.0","$375.0","$450.0","$886.1","$125.0","$33.0","$25.0","$52.0","$85.0","$181.0","-24.20 %","108.00 %","63.50 %","112.90 %",17.04,10.42,"Investor Presentation","https://www.sec.gov/Archives/edgar/data/1779128/000110465920135523/tm2038448d1_ex99-2.htm"
