time,power,vind,Tamb,luftfugtighed,GHI,DHI,nedboer,aoi,poa,solar_time,time_aware,Timestamp
2019-10-01 23:45:00,,,24.783609390259,18.845285415649,1.2704567909241,0.5195270776748699,,167.96801145666228,1.3405357152290929,2019-10-01 23:20:46,2019-10-01 23:45:00+09:30,2019-10-01 23:45:00
2019-10-01 23:50:00,,,25.541410446167003,17.70903968811,1.2519953250884999,0.52649861574173,,168.9609112729643,1.3189047576407558,2019-10-01 23:25:46,2019-10-01 23:50:00+09:30,2019-10-01 23:50:00
2019-10-01 23:55:00,,,26.060947418213,16.748098373413,1.2505863904953,0.5357345342636101,,169.89669939452682,1.3159569114994993,2019-10-01 23:30:46,2019-10-01 23:55:00+09:30,2019-10-01 23:55:00
2019-11-01 00:00:00,,,23.968385696410998,9.4076137542725,0.8241490721702599,0.58495163917542,,161.54838210858983,0.8558613509523196,2019-11-01 23:41:52,2019-11-01 00:00:00+09:30,2019-11-01 00:00:00
2019-11-01 00:05:00,,,24.074802398682,9.380380630493198,0.85230672359467,0.6454895138740501,,161.8094164796463,0.8754749808402496,2019-11-01 23:46:52,2019-11-01 00:05:00+09:30,2019-11-01 00:05:00
2019-11-01 00:10:00,,,24.190902709960998,9.3688831329346,0.65564823150635,0.51089704036713,,161.9887197593814,0.6700634813142643,2019-11-01 23:51:52,2019-11-01 00:10:00+09:30,2019-11-01 00:10:00
2019-11-01 00:15:00,,,24.327217102051,9.3718156814575,0.65569788217545,0.50853306055069,,162.08383779120663,0.670672983235352,2019-11-01 23:56:52,2019-11-01 00:15:00+09:30,2019-11-01 00:15:00
2019-11-01 00:20:00,,,24.208408355713,9.4817495346069,1.287787437439,1.0265161991119,,162.0934292638152,1.3106449537615097,2019-11-01 0:01:52,2019-11-01 00:20:00+09:30,2019-11-01 00:20:00
2019-11-01 00:25:00,,,23.858928680420004,9.6885242462158,1.2301027774811002,1.0375480651855,,162.01735802071983,1.2384874761251516,2019-11-01 0:06:52,2019-11-01 00:25:00+09:30,2019-11-01 00:25:00
2019-11-01 00:30:00,,,24.359859466553,9.505409240722699,0.47595542669296004,0.5070092678070101,,161.85670262439584,0.49172106771766194,2019-11-01 0:11:52,2019-11-01 00:30:00+09:30,2019-11-01 00:30:00
2019-11-01 00:35:00,,,24.247077941895,9.573298454284698,1.1240556240082,0.83368647098541,,161.6136816500394,1.1588314470253396,2019-11-01 0:16:52,2019-11-01 00:35:00+09:30,2019-11-01 00:35:00
2019-11-01 00:40:00,,,24.081907272339002,9.7597436904907,1.1431015729904,0.89203244447708,,161.29150642417272,1.1680723291434063,2019-11-01 0:21:52,2019-11-01 00:40:00+09:30,2019-11-01 00:40:00
2019-11-01 00:45:00,,,24.310443878174,9.7049379348755,0.695621073246,0.52302485704422,,160.89418297986015,0.7155614928925632,2019-11-01 0:26:52,2019-11-01 00:45:00+09:30,2019-11-01 00:45:00
2019-11-01 00:50:00,,,24.231330871582,9.775750160217301,0.8399140834808299,0.52834570407867,,160.42628956737283,0.888567164089253,2019-11-01 0:31:52,2019-11-01 00:50:00+09:30,2019-11-01 00:50:00
2019-11-01 00:55:00,,,24.74330329895,9.553293228149402,0.46279990673064997,0.5110514163970901,,159.89275487731095,0.4956413306138111,2019-11-01 0:36:52,2019-11-01 00:55:00+09:30,2019-11-01 00:55:00
2019-11-01 01:00:00,,,24.797443389892997,9.481452941894501,0.44557225704193,0.5037499666214,,159.2986567067256,0.4885600464883387,2019-11-01 0:41:52,2019-11-01 01:00:00+09:30,2019-11-01 01:00:00
2019-11-01 01:05:00,,,24.229141235352,9.77991771698,1.274572968483,1.0704592466354002,,158.64905343564286,1.2849197446004528,2019-11-01 0:46:52,2019-11-01 01:05:00+09:30,2019-11-01 01:05:00
2019-11-01 01:10:00,,,24.174188613892003,9.939455032348599,1.0698418617249,0.9016416072845501,,157.94885349710216,1.077888886085853,2019-11-01 0:51:52,2019-11-01 01:10:00+09:30,2019-11-01 01:10:00
2019-11-01 01:15:00,,,24.654333114624,9.702171325683599,0.6783032417297401,0.58698832988739,,157.2027223603119,0.6797982191211558,2019-11-01 0:56:52,2019-11-01 01:15:00+09:30,2019-11-01 01:15:00
2019-11-01 01:20:00,,,24.199073791504002,9.9422264099121,2.0235259532928,1.8188325166702,,156.4150228871327,2.011872219895261,2019-11-01 1:01:52,2019-11-01 01:20:00+09:30,2019-11-01 01:20:00
2019-11-01 01:25:00,,,23.655422210693,10.339634895325,1.8346719741821,1.5102999210358,,155.58978311983617,1.857857516574438,2019-11-01 1:06:52,2019-11-01 01:25:00+09:30,2019-11-01 01:25:00
