"Vare","Vare_2"
"Soft Flora steke & bake500 gr",""
"Solo plastflaske0",""
"Solo Plastflaske1",""
"Sopps snarkokt makaroni650gr",""
"Soyasaus Kikkoman150 ml",""
"Spaghetti A la Capri870 gram",""
"Spenol250 ml fuktighetskrem",""
"Spice Mix Fajitas30 gram",""
"Sriracha-Saus215 ml",""
"Stabbur-Makrell",""
"Stjernebacon140 gr",""
"Storfe Ytrefilet150 gram",""
"Strandaskinke70 gr",""
"Sukkerkulør",""
"Sun Lolly Jordbær10 stk",""
"Sunmaid rosiner500 gr",""
"Surkål Nora450 gram",""
"Sursild eget merke1 kilo",""
"Svin Indrefilet500 gram",""
"Svisker",""
"Sweet Baby Rays510 gram",""
"Sætre Snackers120 gr",""
"Taco dinner kit",""
"Taco salsa medium",""
"Taco shells",""
"Taco spice mix 3X25G",""
"Tacosaus billigste type",""
"Tacosaus eget merke",""
"Tacosaus Hot",""
"Tacosaus Medium",""
"Thousand Island",""
"Tine Meierismør1/2 kilo",""
"Tine Sjokomelk1 lit",""
"Tine Yoghurt Jordbær 4pk4x150gr",""
"Tine Yoghurt Melon/pasjonsfrukt 4pk4x150gr",""
"Tine Yoghurt Vanilje 4pk4 pk",""
"Tine Yoghurt Vanilje500 gram",""
"Tomatbønner",""
"Tomatpurre Staveland180 gr","Tomatpurre Stavland180 gr"
"Tomatsuppe m/makaroni119 gr",""
"Tomatsuppe Original91 gr",""
"Tomtegløgg Original500 ml",""
"Toppris60gr",""
"Toro Brownies530 gram",""
"Toro Pizzabunn familiepakn.370 gram",""
"Torsk m purresaus",""
"Tortillas beger8 stk",""
"Totalsum",""
"Troika66 gr",""
"Trondhjems brun lapskaus800",""
"Tuborg juleøl5 dl",""
"Tuborg Lite5 dl",""
"Tuborg liten boks3",""
"Tuborg pils5 dl",""
"Tunfisk i Olivenolje eget merke185 gram",""
"Tynnribbe",""
"Tyttebærsyltetøy Nora Hj.laget400 gr",""
"Uncle Ben`s Sweet & Sour Original450 gr",""
"Uncle Bens Tikka Masala450 gram",""
"Vafler liten pk",""
"Vafler Toro Fam/Pk591 gr",""
"Vaniljeis eget merke3 liter",""
"Vannmelon1 kilo",""
"Vitaminbjørner Collet ny60 stk",""
"Vossafår91 gr",""
"Wasa Rugsprø200gr",""
"WC Duck Blått1 stk",""
"Whiskas Sticks Laks1 stk",""
"Wienerpølser Gilde520 gr",""
"Woksaus Sweet and sour120 gr",""
"Woksaus Teriyaki120 gram",""
"Yoplait Yoghurt Vanilje4 stk",""
"Aas juleøl5 dl",""
