34,3449,"05","OPPLAND","0540","SØR-AURDAL","INNLANDET","SØR-AURDAL","Østre Østland","Østre Østland","sør-aurdal"
34,3450,"05","OPPLAND","0541","ETNEDAL","INNLANDET","ETNEDAL","Østre Østland","Østre Østland","etnedal"
34,3451,"05","OPPLAND","0542","NORD-AURDAL","INNLANDET","NORD-AURDAL","Østre Østland","Østre Østland","nord-aurdal"
34,3452,"05","OPPLAND","0543","VESTRE SLIDRE","INNLANDET","VESTRE SLIDRE","Østre Østland","Østre Østland","vestre slidre"
34,3453,"05","OPPLAND","0544","ØYSTRE SLIDRE","INNLANDET","ØYSTRE SLIDRE","Østre Østland","Østre Østland","øystre slidre"
34,3454,"05","OPPLAND","0545","VANG","INNLANDET","VANG","Østre Østland","Østre Østland","vang"
30,3005,"06","BUSKERUD","0602","DRAMMEN","VIKEN","DRAMMEN","Vestre Østland","Vestre Østland","drammen"
30,3006,"06","BUSKERUD","0604","KONGSBERG","VIKEN","KONGSBERG","Vestre Østland","Vestre Østland","kongsberg"
30,3007,"06","BUSKERUD","0605","RINGERIKE","VIKEN","RINGERIKE","Vestre Østland","Vestre Østland","ringerike"
30,3038,"06","BUSKERUD","0612","HOLE","VIKEN","HOLE","Vestre Østland","Vestre Østland","hole"
30,3039,"06","BUSKERUD","0615","FLÅ","VIKEN","FLÅ","Vestre Østland","Vestre Østland","flå"
30,3040,"06","BUSKERUD","0616","NES (BUSK.)","VIKEN","NESBYEN","Vestre Østland","Vestre Østland","nesbyen"
30,3041,"06","BUSKERUD","0617","GOL","VIKEN","GOL","Vestre Østland","Vestre Østland","gol"
30,3042,"06","BUSKERUD","0618","HEMSEDAL","VIKEN","HEMSEDAL","Vestre Østland","Vestre Østland","hemsedal"
30,3043,"06","BUSKERUD","0619","ÅL","VIKEN","ÅL","Vestre Østland","Vestre Østland","ål"
30,3044,"06","BUSKERUD","0620","HOL","VIKEN","HOL","Vestre Østland","Vestre Østland","hol"
30,3045,"06","BUSKERUD","0621","SIGDAL","VIKEN","SIGDAL","Vestre Østland","Vestre Østland","sigdal"
30,3046,"06","BUSKERUD","0622","KRØDSHERAD","VIKEN","KRØDSHERAD","Vestre Østland","Vestre Østland","krødsherad"
30,3047,"06","BUSKERUD","0623","MODUM","VIKEN","MODUM","Vestre Østland","Vestre Østland","modum"
30,3048,"06","BUSKERUD","0624","ØVRE EIKER","VIKEN","ØVRE EIKER","Vestre Østland","Vestre Østland","øvre eiker"
30,3005,"06","BUSKERUD","0625","NEDRE EIKER","VIKEN","DRAMMEN","Vestre Østland","Vestre Østland","drammen"
30,3049,"06","BUSKERUD","0626","LIER","VIKEN","LIER","Vestre Østland","Vestre Østland","lier"
30,3025,"06","BUSKERUD","0627","RØYKEN","VIKEN","ASKER","Vestre Østland","Vestre Østland","asker"
30,3025,"06","BUSKERUD","0628","HURUM","VIKEN","ASKER","Vestre Østland","Vestre Østland","asker"
30,3050,"06","BUSKERUD","0631","FLESBERG","VIKEN","FLESBERG","Vestre Østland","Vestre Østland","flesberg"
30,3051,"06","BUSKERUD","0632","ROLLAG","VIKEN","ROLLAG","Vestre Østland","Vestre Østland","rollag"
30,3052,"06","BUSKERUD","0633","NORE OG UVDAL","VIKEN","NORE OG UVDAL","Vestre Østland","Vestre Østland","nore og uvdal"
38,3801,"07","VESTFOLD","0701","HORTEN","VESTFOLD OG TELEMARK","HORTEN","Vestre Østland","Vestre Østland","horten"
38,3803,"07","VESTFOLD","0704","TØNSBERG","VESTFOLD OG TELEMARK","TØNSBERG","Vestre Østland","Vestre Østland","tønsberg"
38,3804,"07","VESTFOLD","0710","SANDEFJORD","VESTFOLD OG TELEMARK","SANDEFJORD","Vestre Østland","Vestre Østland","sandefjord"
30,3005,"07","VESTFOLD","0711","SVELVIK","VIKEN","DRAMMEN","Vestre Østland","Vestre Østland","drammen"
38,3805,"07","VESTFOLD","0712","LARVIK","VESTFOLD OG TELEMARK","LARVIK","Vestre Østland","Vestre Østland","larvik"
38,3802,"07","VESTFOLD","0713","SANDE (VESTF.)","VESTFOLD OG TELEMARK","HOLMESTRAND","Vestre Østland","Vestre Østland","holmestrand"
38,3802,"07","VESTFOLD","0715","HOLMESTRAND","VESTFOLD OG TELEMARK","HOLMESTRAND","Vestre Østland","Vestre Østland","holmestrand"
38,3803,"07","VESTFOLD","0716","RE","VESTFOLD OG TELEMARK","TØNSBERG","Vestre Østland","Vestre Østland","tønsberg"
38,3811,"07","VESTFOLD","0729","FÆRDER","VESTFOLD OG TELEMARK","FÆRDER","Vestre Østland","Vestre Østland","færder"
38,3806,"08","TELEMARK","0805","PORSGRUNN","VESTFOLD OG TELEMARK","PORSGRUNN","Vestre Østland","Vestre Østland","porsgrunn"
38,3807,"08","TELEMARK","0806","SKIEN","VESTFOLD OG TELEMARK","SKIEN","Vestre Østland","Vestre Østland","skien"
38,3808,"08","TELEMARK","0807","NOTODDEN","VESTFOLD OG TELEMARK","NOTODDEN","Vestre Østland","Vestre Østland","notodden"
38,3812,"08","TELEMARK","0811","SILJAN","VESTFOLD OG TELEMARK","SILJAN","Vestre Østland","Vestre Østland","siljan"
38,3813,"08","TELEMARK","0814","BAMBLE","VESTFOLD OG TELEMARK","BAMBLE","Vestre Østland","Vestre Østland","bamble"
38,3814,"08","TELEMARK","0815","KRAGERØ","VESTFOLD OG TELEMARK","KRAGERØ","Vestre Østland","Vestre Østland","kragerø"
38,3815,"08","TELEMARK","0817","DRANGEDAL","VESTFOLD OG TELEMARK","DRANGEDAL","Vestre Østland","Vestre Østland","drangedal"
38,3816,"08","TELEMARK","0819","NOME","VESTFOLD OG TELEMARK","NOME","Vestre Østland","Vestre Østland","nome"
38,3817,"08","TELEMARK","0821","BØ (TELEM.)","VESTFOLD OG TELEMARK","MIDT-TELEMARK","Vestre Østland","Vestre Østland","midt-telemark"
38,3817,"08","TELEMARK","0822","SAUHERAD","VESTFOLD OG TELEMARK","MIDT-TELEMARK","Vestre Østland","Vestre Østland","midt-telemark"
38,3818,"08","TELEMARK","0826","TINN","VESTFOLD OG TELEMARK","TINN","Vestre Østland","Vestre Østland","tinn"
38,3819,"08","TELEMARK","0827","HJARTDAL","VESTFOLD OG TELEMARK","HJARTDAL","Vestre Østland","Vestre Østland","hjartdal"
38,3820,"08","TELEMARK","0828","SELJORD","VESTFOLD OG TELEMARK","SELJORD","Vestre Østland","Vestre Østland","seljord"
38,3821,"08","TELEMARK","0829","KVITESEID","VESTFOLD OG TELEMARK","KVITESEID","Vestre Østland","Vestre Østland","kviteseid"
38,3822,"08","TELEMARK","0830","NISSEDAL","VESTFOLD OG TELEMARK","NISSEDAL","Vestre Østland","Vestre Østland","nissedal"
38,3823,"08","TELEMARK","0831","FYRESDAL","VESTFOLD OG TELEMARK","FYRESDAL","Vestre Østland","Vestre Østland","fyresdal"
38,3824,"08","TELEMARK","0833","TOKKE","VESTFOLD OG TELEMARK","TOKKE","Vestre Østland","Vestre Østland","tokke"
38,3825,"08","TELEMARK","0834","VINJE","VESTFOLD OG TELEMARK","VINJE","Vestre Østland","Vestre Østland","vinje"
42,4201,"09","AUST-AGDER","0901","RISØR","AGDER","RISØR","Vest-Norge","Vestre Østland","risør"
42,4202,"09","AUST-AGDER","0904","GRIMSTAD","AGDER","GRIMSTAD","Vest-Norge","Vestre Østland","grimstad"
42,4203,"09","AUST-AGDER","0906","ARENDAL","AGDER","ARENDAL","Vest-Norge","Vestre Østland","arendal"
42,4211,"09","AUST-AGDER","0911","GJERSTAD","AGDER","GJERSTAD","Vest-Norge","Vestre Østland","gjerstad"
42,4212,"09","AUST-AGDER","0912","VEGÅRSHEI","AGDER","VEGÅRSHEI","Vest-Norge","Vestre Østland","vegårshei"
42,4213,"09","AUST-AGDER","0914","TVEDESTRAND","AGDER","TVEDESTRAND","Vest-Norge","Vestre Østland","tvedestrand"
42,4214,"09","AUST-AGDER","0919","FROLAND","AGDER","FROLAND","Vest-Norge","Vestre Østland","froland"
42,4215,"09","AUST-AGDER","0926","LILLESAND","AGDER","LILLESAND","Vest-Norge","Vestre Østland","lillesand"
42,4216,"09","AUST-AGDER","0928","BIRKENES","AGDER","BIRKENES","Vest-Norge","Vestre Østland","birkenes"
42,4217,"09","AUST-AGDER","0929","ÅMLI","AGDER","ÅMLI","Vest-Norge","Vestre Østland","åmli"
42,4218,"09","AUST-AGDER","0935","IVELAND","AGDER","IVELAND","Vest-Norge","Vestre Østland","iveland"
42,4219,"09","AUST-AGDER","0937","EVJE OG HORNNES","AGDER","EVJE OG HORNNES","Vest-Norge","Vestre Østland","evje og hornnes"
42,4220,"09","AUST-AGDER","0938","BYGLAND","AGDER","BYGLAND","Vest-Norge","Vestre Østland","bygland"
42,4221,"09","AUST-AGDER","0940","VALLE","AGDER","VALLE","Vest-Norge","Vestre Østland","valle"
42,4222,"09","AUST-AGDER","0941","BYKLE","AGDER","BYKLE","Vest-Norge","Vestre Østland","bykle"
42,4204,10,"VEST-AGDER",1001,"KRISTIANSAND","AGDER","KRISTIANSAND","Vest-Norge","Vestre Østland","kristiansand"
42,4205,10,"VEST-AGDER",1002,"MANDAL","AGDER","LINDESNES","Vest-Norge","Vestre Østland","lindesnes"
42,4206,10,"VEST-AGDER",1003,"FARSUND","AGDER","FARSUND","Vest-Norge","Vestre Østland","farsund"
42,4207,10,"VEST-AGDER",1004,"FLEKKEFJORD","AGDER","FLEKKEFJORD","Vest-Norge","Vestre Østland","flekkefjord"
42,4223,10,"VEST-AGDER",1014,"VENNESLA","AGDER","VENNESLA","Vest-Norge","Vestre Østland","vennesla"
42,4204,10,"VEST-AGDER",1017,"SONGDALEN","AGDER","KRISTIANSAND","Vest-Norge","Vestre Østland","kristiansand"
42,4204,10,"VEST-AGDER",1018,"SØGNE","AGDER","KRISTIANSAND","Vest-Norge","Vestre Østland","kristiansand"
42,4205,10,"VEST-AGDER",1021,"MARNARDAL","AGDER","LINDESNES","Vest-Norge","Vestre Østland","lindesnes"
42,4224,10,"VEST-AGDER",1026,"ÅSERAL","AGDER","ÅSERAL","Vest-Norge","Vestre Østland","åseral"
42,4225,10,"VEST-AGDER",1027,"AUDNEDAL","AGDER","LYNGDAL","Vest-Norge","Vestre Østland","lyngdal"
42,4205,10,"VEST-AGDER",1029,"LINDESNES","AGDER","LINDESNES","Vest-Norge","Vestre Østland","lindesnes"
42,4225,10,"VEST-AGDER",1032,"LYNGDAL","AGDER","LYNGDAL","Vest-Norge","Vestre Østland","lyngdal"
42,4226,10,"VEST-AGDER",1034,"HÆGEBOSTAD","AGDER","HÆGEBOSTAD","Vest-Norge","Vestre Østland","hægebostad"
42,4227,10,"VEST-AGDER",1037,"KVINESDAL","AGDER","KVINESDAL","Vest-Norge","Vestre Østland","kvinesdal"
