"Indeks","City","Country","Population","Last update","Time zone","addresse","lat","lng","postal_town","administrative_area_level_2","administrative_area_level_1","political"
155,"Kyrksæterøra","Norway","2,471","05.08.2018","Europe/Oslo","Kyrksæterøra",63.2905734,9.0890918,0,0,"none","none"
156,"Løten","Norway","2,458","01.08.2019","Europe/Oslo","Løten",60.8714632,11.3507331,0,0,"none","none"
157,"Vinstra","Norway","2,449","8/19/14","Europe/Oslo","Vinstra",61.5923574,9.7566663,0,0,"none","none"
158,"Vikersund","Norway","2,448","5/26/16","Europe/Oslo","Vikersund",59.9659206,9.9950152,0,0,"none","none"
159,"Stange","Norway","2,416","12.07.2010","Europe/Oslo","Stange",60.7202288,11.1935157,0,0,"none","none"
160,"Ryggebyen","Norway","2,416","2/22/19","Europe/Oslo","Ryggebyen",59.3794745,10.755771,0,0,"none","none"
161,"Setermoen","Norway","2,410","12.07.2010","Europe/Oslo","Setermoen",68.8609902,18.3485696,0,0,"none","none"
162,"Fossbergom","Norway","2,406","12.02.2016","Europe/Oslo","Fossbergom",61.837733,8.5684166,0,0,"Innlandet","none"
163,"Maura","Norway","2,400","5/24/13","Europe/Oslo","Maura",60.2581963,11.0293549,0,0,"none","none"
164,"Bjørnevatn","Norway","2,392","8/19/14","Europe/Oslo","Bjørnevatn",69.6674613,29.9871566,0,0,"none","none"
165,"Skjervøy","Norway","2,376","1/13/19","Europe/Oslo","Skjervøy",70.0339228,20.9733634,0,0,"none","none"
166,"Elnesvågen","Norway","2,362","8/30/14","Europe/Oslo","Elnesvågen",62.8542887,7.1376221,0,0,"none","none"
167,"Tynset","Norway","2,356","12.02.2016","Europe/Oslo","Tynset",62.2759356,10.7824199,0,0,"none","none"
168,"Billingstad","Norway","2,349","5/24/13","Europe/Oslo","Billingstad",59.8765171,10.4795116,0,0,"none","none"
169,"Bjørkelangen","Norway","2,346","8/19/14","Europe/Oslo","Bjørkelangen",59.8847819,11.5694161,0,0,"none","none"
170,"Lervik","Norway","2,331","7/13/13","Europe/Oslo","Lervik",59.2712815,10.7489409,0,0,"none","none"
171,"Løpsmarka","Norway","2,308","7/13/13","Europe/Oslo","Løpsmarka",67.313513,14.44786,0,0,"none","none"
172,"Ål","Norway","2,278","12.02.2016","Europe/Oslo","Ål",60.6303103,8.5610796,0,0,"none","none"
173,"Geilo","Norway","2,276","8/19/14","Europe/Oslo","Geilo",60.5336513,8.2087948,0,0,"none","none"
174,"Høyanger","Norway","2,266","8/19/14","Europe/Oslo","Høyanger",61.2200648,6.0757441,0,0,"none","none"
175,"Birkeland","Norway","2,254","12.07.2010","Europe/Oslo","Birkeland",58.3309147,8.2322894,0,0,"none","none"
176,"Innbygda","Norway","2,250","12.07.2010","Europe/Oslo","Innbygda",61.314839,12.2637373,0,0,"none","none"
177,"Lyefjell","Norway","2,200","10/26/17","Europe/Oslo","Lyefjell",58.7327651,5.7377941,0,0,"none","none"
178,"Aursmoen","Norway","2,173","07.08.2013","Europe/Oslo","Aursmoen",59.9276088,11.4427477,0,0,"none","none"
179,"Skarnes","Norway","2,172","8/19/14","Europe/Oslo","Skarnes",60.2528412,11.679744,0,0,"none","none"
180,"Lakselv","Norway","2,168","7/13/13","Europe/Oslo","Lakselv",70.0513264,24.971782,0,0,"none","none"
181,"Båtsfjord","Norway","2,166","12.02.2016","Europe/Oslo","Båtsfjord",70.6345012,29.7178451,0,0,"none","none"
182,"Melbu","Norway","2,161","5/24/13","Europe/Oslo","Melbu",68.5012102,14.8007091,0,0,"none","none"
183,"Sandane","Norway","2,149","01.11.2018","Europe/Oslo","Sandane",61.776446,6.2161606,0,0,"none","none"
184,"Hauge i Dalane","Norway","2,148","01.11.2019","Europe/Oslo","Hauge i Dalane",58.3423491,6.2773121,0,0,"none","none"
185,"Norheimsund","Norway","2,146","12.07.2010","Europe/Oslo","Norheimsund",60.3708869,6.1456351,0,0,"none","none"
186,"Brattvåg","Norway","2,146","8/19/14","Europe/Oslo","Brattvåg",62.5962346,6.4459551,0,0,"none","none"
187,"Liknes","Norway","2,141","8/19/14","Europe/Oslo","Liknes",58.3191876,6.958377,0,0,"none","none"
188,"Evjen","Norway","2,127","12.05.2018","Europe/Oslo","Evjen",63.287391,9.840545,0,0,"none","none"
189,"Rensvik","Norway","2,121","7/13/13","Europe/Oslo","Rensvik",63.1016851,7.8296176,0,0,"none","none"
190,"Stryn","Norway","2,106","12.02.2016","Europe/Oslo","Stryn",61.9026165,6.7179307,0,0,"none","none"
191,"Hov","Norway","2,095","12.07.2010","Europe/Oslo","Hov",60.6987031,10.3519344,0,0,"none","none"
192,"Vestnes","Norway","2,088","8/19/14","Europe/Oslo","Vestnes",62.6039174,7.0151284,0,0,"none","none"
193,"Nesbyen","Norway","2,086","12.07.2010","Europe/Oslo","Nesbyen",60.5680861,9.1027428,0,0,"none","none"
194,"Vardø","Norway","2,075","9/26/15","Europe/Oslo","Vardø",70.3705875,31.1094377,0,0,"none","none"
195,"Årøysund","Norway","2,052","05.08.2018","Europe/Oslo","Årøysund",59.1826322,10.4576836,0,0,"none","none"
196,"Åndalsnes","Norway","2,035","12/18/12","Europe/Oslo","Åndalsnes",62.5674461,7.68722,0,0,"none","none"
197,"Rena","Norway","2,009","8/19/14","Europe/Oslo","Rena",61.1348441,11.3640877,0,0,"none","none"
198,"Kautokeino","Norway","2,000","12.02.2016","Europe/Oslo","Kautokeino",69.0181335,23.0452085,0,0,"none","none"
199,"Hermansverk","Norway","2,000","12.07.2010","Europe/Oslo","Hermansverk",61.1854077,6.8223196,0,0,"none","none"
200,"Myre","Norway","1,995","01.10.2019","Europe/Oslo","Myre",68.9153215,15.0794821,0,0,"none","none"
201,"Myre","Norway","1,994","8/19/14","Europe/Oslo","Myre",68.9153215,15.0794821,0,0,"none","none"
202,"Fagerstrand","Norway","1,990","5/24/13","Europe/Oslo","Fagerstrand",59.7380344,10.5949188,0,0,"none","none"
203,"Tvedestrand","Norway","1,975","12.02.2016","Europe/Oslo","Tvedestrand",58.6229434,8.9303811,0,0,"none","none"
204,"Spetalen","Norway","1,969","10/14/10","Europe/Oslo","Spetalen",59.2983328,10.7675021,0,0,"none","none"
205,"Vanse","Norway","1,953","5/24/13","Europe/Oslo","Vanse",58.0960288,6.7014142,0,0,"none","none"
206,"Gullhaug","Norway","1,912","05.08.2018","Europe/Oslo","Gullhaug",59.5006988,10.2546034,0,0,"none","none"
207,"Kárášjohka","Norway","1,908","5/28/14","Europe/Oslo","Kárášjohka",69.471935,25.5108129,0,0,"none","none"
208,"Blakstad","Norway","1,898","01.05.2019","Europe/Oslo","Blakstad",59.8191171,10.4645165,0,0,"none","none"
209,"Skogn","Norway","1,884","05.08.2018","Europe/Oslo","Skogn",63.7011075,11.1868822,0,0,"none","none"
210,"Hemsedal","Norway","1,876","10/14/10","Europe/Oslo","Hemsedal",60.8630354,8.5523882,0,0,"none","none"
211,"Hauknes","Norway","1,864","1/19/12","Europe/Oslo","Hauknes",66.2867517,14.0579612,0,0,"none","none"
212,"Skjeberg","Norway","1,862","07.05.2013","Europe/Oslo","Skjeberg",59.211471,11.1902854,0,0,"none","none"
213,"Hylkje","Norway","1,853","05.06.2012","Europe/Oslo","Hylkje",60.507651,5.351746,0,0,"none","none"
214,"Brekstad","Norway","1,835","05.08.2018","Europe/Oslo","Brekstad",63.6862525,9.6623489,0,0,"none","none"
215,"Nodeland","Norway","1,834","12.07.2010","Europe/Oslo","Nodeland",58.1551659,7.8357665,0,0,"none","none"
216,"Selvik","Norway","1,829","5/24/13","Europe/Oslo","Selvik",59.5664538,10.2600333,0,0,"none","none"
217,"Sem","Norway","1,827","07.05.2013","Europe/Oslo","Sem",59.2823015,10.3300322,0,0,"none","none"
218,"Lødingen","Norway","1,808","8/19/14","Europe/Oslo","Lødingen",68.4141543,15.9943948,0,0,"none","none"
219,"Karlshus","Norway","1,801","7/13/13","Europe/Oslo","Karlshus",59.3519527,10.8722604,0,0,"none","none"
220,"Espeland","Norway","1,793","8/19/14","Europe/Oslo","Espeland",60.3817244,5.4677468,0,0,"Vestland","none"
221,"Fagernes","Norway","1,788","3/25/13","Europe/Oslo","Fagernes",60.9858348,9.2323598,0,0,"none","none"
222,"Vigrestad","Norway","1,764","5/24/13","Europe/Oslo","Vigrestad",58.5710321,5.6818233,0,0,"none","none"
223,"Moi","Norway","1,740","12.07.2010","Europe/Oslo","Moi",58.4567377,6.5518521,0,0,"none","none"
224,"Rypefjord","Norway","1,731","5/24/13","Europe/Oslo","Rypefjord",70.6412614,23.672122,0,0,"none","none"
225,"Ørje","Norway","1,722","12.07.2010","Europe/Oslo","Ørje",59.4805101,11.6602541,0,0,"none","none"
226,"Skaun","Norway","1,682","05.08.2018","Europe/Oslo","Skaun",63.2740653,10.043347,0,0,"none","none"
