"City","Country","Population","Last update","Time zone"
"Ål","Norway","2,278","12.02.2016","Europe/Oslo"
"Geilo","Norway","2,276","8/19/14","Europe/Oslo"
"Høyanger","Norway","2,266","8/19/14","Europe/Oslo"
"Birkeland","Norway","2,254","12.07.2010","Europe/Oslo"
"Innbygda","Norway","2,250","12.07.2010","Europe/Oslo"
"Lyefjell","Norway","2,200","10/26/17","Europe/Oslo"
"Aursmoen","Norway","2,173","07.08.2013","Europe/Oslo"
"Skarnes","Norway","2,172","8/19/14","Europe/Oslo"
"Lakselv","Norway","2,168","7/13/13","Europe/Oslo"
"Båtsfjord","Norway","2,166","12.02.2016","Europe/Oslo"
"Melbu","Norway","2,161","5/24/13","Europe/Oslo"
"Sandane","Norway","2,149","01.11.2018","Europe/Oslo"
"Hauge i Dalane","Norway","2,148","01.11.2019","Europe/Oslo"
"Norheimsund","Norway","2,146","12.07.2010","Europe/Oslo"
"Brattvåg","Norway","2,146","8/19/14","Europe/Oslo"
"Liknes","Norway","2,141","8/19/14","Europe/Oslo"
"Evjen","Norway","2,127","12.05.2018","Europe/Oslo"
"Rensvik","Norway","2,121","7/13/13","Europe/Oslo"
"Stryn","Norway","2,106","12.02.2016","Europe/Oslo"
"Hov","Norway","2,095","12.07.2010","Europe/Oslo"
"Vestnes","Norway","2,088","8/19/14","Europe/Oslo"
"Nesbyen","Norway","2,086","12.07.2010","Europe/Oslo"
"Vardø","Norway","2,075","9/26/15","Europe/Oslo"
"Årøysund","Norway","2,052","05.08.2018","Europe/Oslo"
"Åndalsnes","Norway","2,035","12/18/12","Europe/Oslo"
"Rena","Norway","2,009","8/19/14","Europe/Oslo"
"Kautokeino","Norway","2,000","12.02.2016","Europe/Oslo"
"Hermansverk","Norway","2,000","12.07.2010","Europe/Oslo"
"Myre","Norway","1,995","01.10.2019","Europe/Oslo"
"Myre","Norway","1,994","8/19/14","Europe/Oslo"
"Fagerstrand","Norway","1,990","5/24/13","Europe/Oslo"
"Tvedestrand","Norway","1,975","12.02.2016","Europe/Oslo"
"Spetalen","Norway","1,969","10/14/10","Europe/Oslo"
"Vanse","Norway","1,953","5/24/13","Europe/Oslo"
"Gullhaug","Norway","1,912","05.08.2018","Europe/Oslo"
"Kárášjohka","Norway","1,908","5/28/14","Europe/Oslo"
"Blakstad","Norway","1,898","01.05.2019","Europe/Oslo"
"Skogn","Norway","1,884","05.08.2018","Europe/Oslo"
"Hemsedal","Norway","1,876","10/14/10","Europe/Oslo"
"Hauknes","Norway","1,864","1/19/12","Europe/Oslo"
"Skjeberg","Norway","1,862","07.05.2013","Europe/Oslo"
"Hylkje","Norway","1,853","05.06.2012","Europe/Oslo"
"Brekstad","Norway","1,835","05.08.2018","Europe/Oslo"
"Nodeland","Norway","1,834","12.07.2010","Europe/Oslo"
"Selvik","Norway","1,829","5/24/13","Europe/Oslo"
"Sem","Norway","1,827","07.05.2013","Europe/Oslo"
"Lødingen","Norway","1,808","8/19/14","Europe/Oslo"
"Karlshus","Norway","1,801","7/13/13","Europe/Oslo"
"Espeland","Norway","1,793","8/19/14","Europe/Oslo"
"Fagernes","Norway","1,788","3/25/13","Europe/Oslo"
"Vigrestad","Norway","1,764","5/24/13","Europe/Oslo"
"Moi","Norway","1,740","12.07.2010","Europe/Oslo"
"Rypefjord","Norway","1,731","5/24/13","Europe/Oslo"
"Ørje","Norway","1,722","12.07.2010","Europe/Oslo"
"Skaun","Norway","1,682","05.08.2018","Europe/Oslo"
"Kabelvåg","Norway","1,638","5/24/13","Europe/Oslo"
"Skodje","Norway","1,634","8/19/14","Europe/Oslo"
"Øystese","Norway","1,634","10/14/10","Europe/Oslo"
"Skoppum","Norway","1,633","5/24/13","Europe/Oslo"
"Justvik","Norway","1,630","8/19/14","Europe/Oslo"
"Gravdal","Norway","1,624","5/24/13","Europe/Oslo"
"Frekhaug","Norway","1,610","8/19/14","Europe/Oslo"
"Vatne","Norway","1,609","5/24/13","Europe/Oslo"
"Otta","Norway","1,602","12.07.2010","Europe/Oslo"
"Ørnes","Norway","1,538","8/19/14","Europe/Oslo"
"Årdalstangen","Norway","1,510","8/19/14","Europe/Oslo"
"Sjølyststranda","Norway","1,500","10/15/10","Europe/Oslo"
"Melsomvik","Norway","1,498","9/20/17","Europe/Oslo"
"Grua","Norway","1,477","5/24/13","Europe/Oslo"
"Kolvereid","Norway","1,467","05.08.2018","Europe/Oslo"
"Vågåmo","Norway","1,463","12.07.2010","Europe/Oslo"
"Borkenes","Norway","1,460","8/19/14","Europe/Oslo"
"Storslett","Norway","1,455","7/13/13","Europe/Oslo"
"Lunde","Norway","1,422","8/19/14","Europe/Oslo"
"Eike","Norway","1,408","1/19/12","Europe/Oslo"
"Tveit","Norway","1,397","10/15/10","Europe/Oslo"
"Sande","Norway","1,389","12.07.2010","Europe/Oslo"
"Larkollen","Norway","1,373","07.05.2013","Europe/Oslo"
"Åneby","Norway","1,373","5/24/13","Europe/Oslo"
"Skotterud","Norway","1,361","12.07.2010","Europe/Oslo"
"Herre","Norway","1,356","5/24/13","Europe/Oslo"
"Ågotnes","Norway","1,344","5/24/13","Europe/Oslo"
"Tomter","Norway","1,307","8/19/14","Europe/Oslo"
"Hagavik","Norway","1,305","07.05.2013","Europe/Oslo"
"Skreia","Norway","1,285","5/24/13","Europe/Oslo"
"Fitjar","Norway","1,280","01.08.2019","Europe/Oslo"
"Strai","Norway","1,266","07.05.2013","Europe/Oslo"
"Vigeland","Norway","1,258","12.07.2010","Europe/Oslo"
"Kirkenær","Norway","1,252","8/19/14","Europe/Oslo"
"Hemnesberget","Norway","1,243","8/19/14","Europe/Oslo"
"Barkåker","Norway","1,238","7/13/13","Europe/Oslo"
"Malm","Norway","1,230","05.08.2018","Europe/Oslo"
"Bjerkvik","Norway","1,220","07.07.2013","Europe/Oslo"
"Prestestranda","Norway","1,215","12.07.2010","Europe/Oslo"
"Nesna","Norway","1,211","8/19/14","Europe/Oslo"
"Glomfjord","Norway","1,204","5/24/13","Europe/Oslo"
"Våler","Norway","1,188","8/19/14","Europe/Oslo"
"Seljord","Norway","1,185","01.12.2019","Europe/Oslo"
"Koppang","Norway","1,182","8/19/14","Europe/Oslo"
