"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","Region"
12,"HORDALAND",1219,"BØMLO",46,"VESTLAND",4613,"BØMLO","Vestlandet"
12,"HORDALAND",1221,"STORD",46,"VESTLAND",4614,"STORD","Vestlandet"
12,"HORDALAND",1222,"FITJAR",46,"VESTLAND",4615,"FITJAR","Vestlandet"
12,"HORDALAND",1223,"TYSNES",46,"VESTLAND",4616,"TYSNES","Vestlandet"
12,"HORDALAND",1224,"KVINNHERAD",46,"VESTLAND",4617,"KVINNHERAD","Vestlandet"
12,"HORDALAND",1227,"JONDAL",46,"VESTLAND",4618,"ULLENSVANG","Vestlandet"
12,"HORDALAND",1228,"ODDA",46,"VESTLAND",4618,"ULLENSVANG","Vestlandet"
12,"HORDALAND",1231,"ULLENSVANG",46,"VESTLAND",4618,"ULLENSVANG","Vestlandet"
12,"HORDALAND",1232,"EIDFJORD",46,"VESTLAND",4619,"EIDFJORD","Vestlandet"
12,"HORDALAND",1233,"ULVIK",46,"VESTLAND",4620,"ULVIK","Vestlandet"
12,"HORDALAND",1234,"GRANVIN",46,"VESTLAND",4621,"VOSS","Vestlandet"
12,"HORDALAND",1235,"VOSS",46,"VESTLAND",4621,"VOSS","Vestlandet"
12,"HORDALAND",1238,"KVAM",46,"VESTLAND",4622,"KVAM","Vestlandet"
12,"HORDALAND",1241,"FUSA",46,"VESTLAND",4624,"BJØRNAFJORDEN","Vestlandet"
12,"HORDALAND",1242,"SAMNANGER",46,"VESTLAND",4623,"SAMNANGER","Vestlandet"
12,"HORDALAND",1243,"OS (HORDALAND)",46,"VESTLAND",4624,"BJØRNAFJORDEN","Vestlandet"
12,"HORDALAND",1244,"AUSTEVOLL",46,"VESTLAND",4625,"AUSTEVOLL","Vestlandet"
12,"HORDALAND",1245,"SUND",46,"VESTLAND",4626,"ØYGARDEN","Vestlandet"
12,"HORDALAND",1246,"FJELL",46,"VESTLAND",4626,"ØYGARDEN","Vestlandet"
12,"HORDALAND",1247,"ASKØY",46,"VESTLAND",4627,"ASKØY","Vestlandet"
12,"HORDALAND",1251,"VAKSDAL",46,"VESTLAND",4628,"VAKSDAL","Vestlandet"
12,"HORDALAND",1252,"MODALEN",46,"VESTLAND",4629,"MODALEN","Vestlandet"
12,"HORDALAND",1253,"OSTERØY",46,"VESTLAND",4630,"OSTERØY","Vestlandet"
12,"HORDALAND",1256,"MELAND",46,"VESTLAND",4631,"ALVER","Vestlandet"
12,"HORDALAND",1259,"ØYGARDEN",46,"VESTLAND",4626,"ØYGARDEN","Vestlandet"
12,"HORDALAND",1260,"RADØY",46,"VESTLAND",4631,"ALVER","Vestlandet"
12,"HORDALAND",1263,"LINDÅS",46,"VESTLAND",4631,"ALVER","Vestlandet"
12,"HORDALAND",1264,"AUSTRHEIM",46,"VESTLAND",4632,"AUSTRHEIM","Vestlandet"
12,"HORDALAND",1265,"FEDJE",46,"VESTLAND",4633,"FEDJE","Vestlandet"
12,"HORDALAND",1266,"MASFJORDEN",46,"VESTLAND",4634,"MASFJORDEN","Vestlandet"
14,"SOGN OG FJORDANE",1401,"FLORA",46,"VESTLAND",4602,"KINN","Vestlandet"
14,"SOGN OG FJORDANE",1411,"GULEN",46,"VESTLAND",4635,"GULEN","Vestlandet"
14,"SOGN OG FJORDANE",1412,"SOLUND",46,"VESTLAND",4636,"SOLUND","Vestlandet"
14,"SOGN OG FJORDANE",1413,"HYLLESTAD",46,"VESTLAND",4637,"HYLLESTAD","Vestlandet"
14,"SOGN OG FJORDANE",1416,"HØYANGER",46,"VESTLAND",4638,"HØYANGER","Vestlandet"
14,"SOGN OG FJORDANE",1417,"VIK",46,"VESTLAND",4639,"VIK","Vestlandet"
14,"SOGN OG FJORDANE",1418,"BALESTRAND",46,"VESTLAND",4640,"SOGNDAL","Vestlandet"
14,"SOGN OG FJORDANE",1419,"LEIKANGER",46,"VESTLAND",4640,"SOGNDAL","Vestlandet"
14,"SOGN OG FJORDANE",1420,"SOGNDAL",46,"VESTLAND",4640,"SOGNDAL","Vestlandet"
14,"SOGN OG FJORDANE",1421,"AURLAND",46,"VESTLAND",4641,"AURLAND","Vestlandet"
14,"SOGN OG FJORDANE",1422,"LÆRDAL",46,"VESTLAND",4642,"LÆRDAL","Vestlandet"
14,"SOGN OG FJORDANE",1424,"ÅRDAL",46,"VESTLAND",4643,"ÅRDAL","Vestlandet"
14,"SOGN OG FJORDANE",1426,"LUSTER",46,"VESTLAND",4644,"LUSTER","Vestlandet"
14,"SOGN OG FJORDANE",1428,"ASKVOLL",46,"VESTLAND",4645,"ASKVOLL","Vestlandet"
14,"SOGN OG FJORDANE",1429,"FJALER",46,"VESTLAND",4646,"FJALER","Vestlandet"
14,"SOGN OG FJORDANE",1430,"GAULAR",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1431,"JØLSTER",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1432,"FØRDE",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1433,"NAUSTDAL",46,"VESTLAND",4647,"SUNNFJORD","Vestlandet"
14,"SOGN OG FJORDANE",1438,"BREMANGER",46,"VESTLAND",4648,"BREMANGER","Vestlandet"
14,"SOGN OG FJORDANE",1439,"VÅGSØY",46,"VESTLAND",4602,"KINN","Vestlandet"
14,"SOGN OG FJORDANE",1441,"SELJE",46,"VESTLAND",4649,"STAD","Vestlandet"
14,"SOGN OG FJORDANE",1443,"EID",46,"VESTLAND",4649,"STAD","Vestlandet"
14,"SOGN OG FJORDANE",1444,"HORNINDAL",15,"MØRE OG ROMSDAL",1577,"VOLDA","Midt-Norge"
14,"SOGN OG FJORDANE",1445,"GLOPPEN",46,"VESTLAND",4650,"GLOPPEN","Vestlandet"
14,"SOGN OG FJORDANE",1449,"STRYN",46,"VESTLAND",4651,"STRYN","Vestlandet"
15,"MØRE OG ROMSDAL",1502,"MOLDE",15,"MØRE OG ROMSDAL",1506,"MOLDE","Midt-Norge"
15,"MØRE OG ROMSDAL",1504,"ÅLESUND",15,"MØRE OG ROMSDAL",1507,"ÅLESUND","Midt-Norge"
15,"MØRE OG ROMSDAL",1505,"KRISTIANSUND",15,"MØRE OG ROMSDAL",1505,"KRISTIANSUND","Midt-Norge"
